 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,27.156,17.319,7,32,470.305,9127.000
2,Cad6B:background,19.478,16.984,9,29,330.816,6420.000
3,Cad6B:background,23.755,17.065,7,31,405.379,7867.000
4,Cad6B:Cntl,3206.134,77.272,8,3254,247745.042,4807876.000
5,Cad6B:Expt,4296.230,82.166,7,7897,353005.753,6850623.000
6,Snai2:background,27.156,103.490,70,160,2810.340,54539.000
7,Snai2:background,19.478,104.892,71,154,2043.073,39649.000
8,Snai2:background,23.755,105.542,67,146,2507.143,48655.000
9,Snai2:Cntl,3206.134,968.645,50,4661,3105605.011,60269072.000
10,Snai2:Expt,4296.230,708.485,62,5479,3043813.341,59069909.000
