 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,9.739,20.354,10,34,198.232,3847.000
2,Cad6B:background,30.299,20.048,8,39,607.424,11788.000
3,Cad6B:background,50.705,19.736,8,37,1000.693,19420.000
4,Cad6B:Cntl,3909.969,71.209,11,3838,278424.945,5403267.000
5,Cad6B:Expt,2702.181,102.503,10,7835,276980.433,5375234.000
6,Snai2:background,9.739,19.593,12,34,190.812,3703.000
7,Snai2:background,30.299,19.352,7,37,586.348,11379.000
8,Snai2:background,50.705,19.239,7,41,975.495,18931.000
9,Snai2:Cntl,3909.969,655.438,13,3852,2562740.452,49733945.000
10,Snai2:Expt,2702.181,427.140,14,3114,1154208.583,22399204.000
