 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,6.183,19.850,10,31,122.742,2382.000
2,Cad6B:background,7.059,19.693,11,32,139.025,2698.000
3,Cad6B:background,6.596,19.820,9,29,130.729,2537.000
4,Cad6B:Cntl,2097.849,92.164,11,8354,193346.547,3752189.000
5,Cad6B:Expt,1866.277,92.061,8,1789,171810.465,3334248.000
6,Snai2:background,6.183,22.817,14,37,141.086,2738.000
7,Snai2:background,7.059,22.898,13,38,161.646,3137.000
8,Snai2:background,6.596,23.062,13,45,152.114,2952.000
9,Snai2:Cntl,2097.849,705.864,13,5260,1480795.623,28737131.000
10,Snai2:Expt,1866.277,649.557,15,3211,1212254.249,23525670.000
