 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,30.144,19.793,9,33,596.654,11579
2,Cad6B:background,25.198,20.035,8,36,504.830,9797
3,Cad6B:background,16.232,19.778,10,38,321.026,6230
4,Cad6B:Cntl,4528.111,88.680,10,7366,401551.172,7792722
5,Cad6B:Expt,2503.846,99.707,11,1184,249652.079,4844885
6,Snai2:background,30.144,40.819,18,66,1230.461,23879
7,Snai2:background,25.198,40.769,23,65,1027.282,19936
8,Snai2:background,16.232,39.225,21,68,636.692,12356
9,Snai2:Cntl,4528.111,651.785,20,3612,2951353.877,57275590
10,Snai2:Expt,2503.846,468.337,31,3612,1172642.619,22756945
