 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,15.356,17.282,8,33,265.374,5150.000
2,Cad6B:background,23.600,17.391,9,30,410.428,7965.000
3,Cad6B:background,19.426,17.109,7,34,332.362,6450.000
4,Cad6B:Cntl,2556.972,81.925,9,6292,209480.998,4065303.000
5,Cad6B:Expt,2768.962,85.120,9,2367,235692.718,4573982.000
6,Snai2:background,15.356,184.836,123,247,2838.269,55081.000
7,Snai2:background,23.600,185.817,132,282,4385.324,85104.000
8,Snai2:background,19.426,184.183,134,248,3578.019,69437.000
9,Snai2:Cntl,2556.972,691.210,108,2422,1767403.992,34299210.000
10,Snai2:Expt,2768.962,606.511,137,2041,1679407.094,32591494.000
