 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,12.212,17.865,7,29,218.174,4234.000
2,Cad6B:background,17.571,17.537,8,34,308.143,5980.000
3,Cad6B:background,43.697,17.594,8,33,768.813,14920.000
4,Cad6B:Cntl,4282.369,81.387,5,7810,348530.304,6763770.000
5,Cad6B:Expt,3575.340,80.049,7,4247,286201.393,5554181.000
6,Snai2:background,12.212,92.582,60,129,1130.649,21942.000
7,Snai2:background,17.571,91.308,59,142,1604.407,31136.000
8,Snai2:background,43.697,92.485,52,135,4041.265,78427.000
9,Snai2:Cntl,4282.369,890.138,53,5448,3811897.452,73975770.000
10,Snai2:Expt,3575.340,545.048,39,3153,1948732.018,37818161.000
