,Date,Treatment,Dose,Image,Somites,Control Area,Experiment Area,Exp/Ctl Area,Norm Control Area,Norm Experiment Area
29,20181119,SMPD3MO,"0,8mM","20181119_SMPD3MO_0,8mM_Pax7_Emb3_7ss_10x",7ss,49505.352999999996,25691.123,0.5189564651725643,0.5877652240137813,0.30502456300555236
30,20181119,SMPD3MO,"1,0mM","20181119_SMPD3MO_1,0mM_Pax7_Emb6_8ss_10x",8ss,64640.245,37909.473,0.58646858470292,0.7674581793756872,0.4500901122771389
31,20180418,SMPD3gRNA1DNA,2ugul,20180418_SMPD3gRNA1DNA_2ugul_Snai2Cad6b_Emb4_8ss_10x,8ss,90081.569,58247.154,0.6466045679111118,1.0601413334553904,0.6854922288436325
32,20180418,SMPD3gRNA1DNA,2ugul,20180418_SMPD3gRNA1DNA_2ugul_Snai2Cad6b_Emb2_9ss_10x,9ss,116946.52699999999,81341.425,0.6955437419702084,1.3763064792616655,0.9572813586835018
33,20181119,SMPD3MO,"0,6mM","20181119_SMPD3MO_0,6mM_Pax7_Emb2_7ss_10x",7ss,44774.579000000005,22611.131,0.5049992988208778,0.5315978750026841,0.2684565541310241
34,20181119,SMPD3MO,"1,0mM","20181119_SMPD3MO_1,0mM_Pax7_Emb4_6ss_10x",6ss,43721.325999999994,30974.287999999997,0.70844804661231,0.5190928538691474,0.3677503183340068
35,20180630,SMPD3MO,"0,8mM","20180630_SMPD3MO_0,8mM_Pax7_Emb8_8ss_10x",8ss,76233.033,54937.746,0.7206553883275246,0.9050965805353409,0.6522627277196108
36,20181102,SMPD3gRNA1RNP,"0,35ugul","20181102_SMPD3gRNA1RNP_0,35ugul_Pax7Laminin_Emb7_7ss_10x",7ss,31746.811,25588.065,0.8060042629163603,0.7932512088854659,0.6393638559252417
37,20181119,SMPD3MO,"0,6mM","20181119_SMPD3MO_0,6mM_Pax7_Emb5_9ss_10x",9ss,131576.416,90281.281,0.6861509360461681,1.5621753394056292,1.0718880714014127
38,20180418,SMPD3gRNA1DNA,2ugul,20180418_SMPD3gRNA1DNA_2ugul_Pax7NcadLaminin_Emb5_9ss_10x,9ss,107900.3,65898.593,0.6107359571752812,1.2698443110181246,0.7755395807532398
39,20180715,SMPD3MONC11m3bCat,"0,8mM2ugul","20180715_SMPD3MONC11m3bCat_0,8mM2ugul_Pax7GFP_Emb3_7ss_10x",7ss,49913.257000000005,24796.991,0.49680170139969027,0.7748529058280029,0.38494824194984584
40,20180630,SMPD3MO,"0,8mM","20180630_SMPD3MO_0,8mM_Pax7_Emb4_8ss_10x",8ss,88178.692,62290.316,0.7064100701334967,1.0469245347391467,0.7395580340095591
41,20181102,SMPD3gRNA1RNP,"0,35ugul","20181102_SMPD3gRNA1RNP_0,35ugul_Sox9Cad6b_Emb1_7ss_10x",7ss,35137.007000000005,32187.898999999998,0.9160683207878233,0.8779613574216031,0.8042725864098059
42,20190603,SMPD3MONC11m3bCat,"0,8mM2ugul","20190603_SMPD3MONC11m3bCat_0,8mM2ugul_Cad6bRFPGFPSnai2_Emb3_8ss_5x",8ss,70442.204,28354.141,0.40251638066293327,1.0935440751207433,0.4401694032129964
43,20190603,SMPD3MONC11m3bCat,"0,8mM2ugul","20190603_SMPD3MONC11m3bCat_0,8mM2ugul_Cad6bRFPGFPSnai2_Emb6_8ss_5x",8ss,47142.852,31093.835,0.6595662689223808,0.7318451661293006,0.4827003856527828
44,20180715,SMPD3MONC11m3bCat,"0,8mM2ugul","20180715_SMPD3MONC11m3bCat_0,8mM2ugul_Pax7GFP_Emb1_8ss_10x",8ss,74016.87400000001,36791.706,0.4970718703953911,1.1490372166898497,0.571154078453938
45,20180514,SMPD3MO,"0,8mM","20180514_SMPD3MO_0,8mM_Pax7Laminin_Emb7_9ss_10x",9ss,122006.469,61269.639,0.5021835276619636,1.4485536459646187,0.7274397799381113
46,20180514,SMPD3MO,"0,8mM","20180514_SMPD3MO_0,8mM_Pax7Laminin_Emb12_8ss_10x",8ss,116506.05699999999,53329.019,0.45773602139844116,1.3832485689288463,0.6331626965465775
47,20181102,SMPD3gRNA1RNP,"0,35ugul","20181102_SMPD3gRNA1RNP_0,35ugul_Sox9Cad6b_Emb4_7ss_10x",7ss,30040.995,25846.946,0.8603891449001606,0.7506283260977689,0.6458324636290983
48,20181119,SMPD3MO,"0,6mM","20181119_SMPD3MO_0,6mM_Pax7_Emb1_7ss_10x",7ss,84674.72,51361.015,0.6065684657711298,1.0053227126590576,0.6097970554224749
49,20180514,SMPD3MO,"0,8mM","20180514_SMPD3MO_0,8mM_Pax7Laminin_Emb1_8ss_10x",8ss,129671.71800000001,61209.66,0.47203554440452467,1.539561315288912,0.7267276636065476
