 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,63.690,7.820,498.079,9666.000
2,H2BRFP:background,44.985,8.009,360.291,6992.000
3,H2BRFP:background,31.381,7.608,238.734,4633.000
4,H2BRFP:Cntl,5280.280,315.709,1667029.880,32351295.000
5,H2BRFP:Expt,3875.445,412.203,1597471.810,31001413.000
6,TCFLefd2eGFP:background,63.690,9.719,619.018,12013.000
7,TCFLefd2eGFP:background,44.985,9.369,421.456,8179.000
8,TCFLefd2eGFP:background,31.381,9.197,288.614,5601.000
9,TCFLefd2eGFP:Cntl,5280.280,292.761,1545858.200,29999771.000
10,TCFLefd2eGFP:Expt,3875.445,286.297,1109529.230,21532132.000
