 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,57.043,7.694,438.872,8517.000
2,H2BRFP:background,52.405,7.750,406.152,7882.000
3,H2BRFP:background,41.120,8.056,331.280,6429.000
4,H2BRFP:Cntl,5880.799,139.610,821017.998,15933125.000
5,H2BRFP:Expt,4075.068,200.641,817624.247,15867264.000
6,TCFLefd2eGFP:background,57.043,9.763,556.925,10808.000
7,TCFLefd2eGFP:background,52.405,9.825,514.878,9992.000
8,TCFLefd2eGFP:background,41.120,9.723,399.814,7759.000
9,TCFLefd2eGFP:Cntl,5880.799,105.058,617822.559,11989803.000
10,TCFLefd2eGFP:Expt,4075.068,119.884,488536.143,9480800.000
