 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,44.366,15.564,690.540,13401.000
2,H2BRFP:background,57.661,16.861,972.198,18867.000
3,H2BRFP:background,46.222,12.887,595.675,11560.000
4,H2BRFP:Cntl,3366.493,329.019,1107640.022,21495469.000
5,H2BRFP:Expt,3145.485,270.413,850581.474,16506850.000
6,TCFLefd2eGFP:background,44.366,9.496,421.301,8176.000
7,TCFLefd2eGFP:background,57.661,9.500,547.805,10631.000
8,TCFLefd2eGFP:background,46.222,9.493,438.769,8515.000
9,TCFLefd2eGFP:Cntl,3366.493,211.461,711882.668,13815185.000
10,TCFLefd2eGFP:Expt,3145.485,148.742,467864.460,9079634.000
