 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,107.283,7.935,851.311,16521.000
2,H2BRFP:background,50.086,7.964,398.886,7741.000
3,H2BRFP:background,86.414,7.896,682.295,13241.000
4,H2BRFP:Cntl,3867.406,169.967,657330.668,12756519.000
5,H2BRFP:Expt,3243.596,227.205,736960.235,14301854.000
6,TCFLefd2eGFP:background,107.283,9.573,1026.973,19930.000
7,TCFLefd2eGFP:background,50.086,9.536,477.622,9269.000
8,TCFLefd2eGFP:background,86.414,9.166,792.104,15372.000
9,TCFLefd2eGFP:Cntl,3867.406,137.999,533698.735,10357250.000
10,TCFLefd2eGFP:Expt,3243.596,200.993,651941.456,12651933.000
