 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,34.937,8.134,284.182,5515.000
2,H2BRFP:background,36.792,8.443,310.617,6028.000
3,H2BRFP:background,44.830,8.178,366.629,7115.000
4,H2BRFP:Cntl,3835.716,347.719,1333749.738,25883478.000
5,H2BRFP:Expt,2291.907,638.603,1463618.689,28403786.000
6,TCFLefd2eGFP:background,34.937,9.683,338.288,6565.000
7,TCFLefd2eGFP:background,36.792,9.549,351.325,6818.000
8,TCFLefd2eGFP:background,44.830,9.724,435.935,8460.000
9,TCFLefd2eGFP:Cntl,3835.716,243.172,932738.693,18101238.000
10,TCFLefd2eGFP:Expt,2291.907,388.678,890813.359,17287612.000
