 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,66.318,7.992,530.027,10286.000
2,H2BRFP:background,42.357,8.077,342.101,6639.000
3,H2BRFP:background,52.096,8.222,428.309,8312.000
4,H2BRFP:Cntl,4798.535,170.897,820054.097,15914419.000
5,H2BRFP:Expt,3291.157,239.538,788356.702,15299282.000
6,TCFLefd2eGFP:background,66.318,9.779,648.492,12585.000
7,TCFLefd2eGFP:background,42.357,9.318,394.661,7659.000
8,TCFLefd2eGFP:background,52.096,9.647,502.562,9753.000
9,TCFLefd2eGFP:Cntl,4798.535,133.927,642652.065,12471658.000
10,TCFLefd2eGFP:Expt,3291.157,192.076,632153.959,12267926.000
