 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,82.859,8.437,699.094,13567.000
2,H2BRFP:background,66.472,8.047,534.871,10380.000
3,H2BRFP:background,56.888,7.935,451.394,8760.000
4,H2BRFP:Cntl,3660.672,145.314,531948.037,10323275.000
5,H2BRFP:Expt,2394.707,153.348,367224.201,7126554.000
6,TCFLefd2eGFP:background,82.859,9.405,779.325,15124.000
7,TCFLefd2eGFP:background,66.472,9.539,634.064,12305.000
8,TCFLefd2eGFP:background,56.888,9.855,560.636,10880.000
9,TCFLefd2eGFP:Cntl,3660.672,143.875,526678.682,10221015.000
10,TCFLefd2eGFP:Expt,2394.707,105.126,251746.681,4885534.000
