 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,161.234,8.008,1291.214,25058.000
2,H2BRFP:background,77.139,8.003,617.317,11980.000
3,H2BRFP:background,70.182,8.103,568.674,11036.000
4,H2BRFP:Cntl,4221.874,208.133,878710.330,17052734.000
5,H2BRFP:Expt,3980.770,274.552,1092927.565,21209951.000
6,TCFLefd2eGFP:background,161.234,9.643,1554.836,30174.000
7,TCFLefd2eGFP:background,77.139,9.479,731.197,14190.000
8,TCFLefd2eGFP:background,70.182,9.421,661.220,12832.000
9,TCFLefd2eGFP:Cntl,4221.874,199.656,842921.430,16358195.000
10,TCFLefd2eGFP:Expt,3980.770,213.459,849729.905,16490324.000
