 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,52.405,8.074,423.105,8211.000
2,H2BRFP:background,44.057,7.780,342.771,6652.000
3,H2BRFP:background,39.729,8.077,320.871,6227.000
4,H2BRFP:Cntl,6031.521,323.762,1952775.241,37896626.000
5,H2BRFP:Expt,4431.030,492.256,2181199.021,42329543.000
6,TCFLefd2eGFP:background,52.405,9.298,487.258,9456.000
7,TCFLefd2eGFP:background,44.057,9.833,433.204,8407.000
8,TCFLefd2eGFP:background,39.729,10.017,397.958,7723.000
9,TCFLefd2eGFP:Cntl,6031.521,270.823,1633475.947,31700129.000
10,TCFLefd2eGFP:Expt,4431.030,295.662,1310086.590,25424258.000
