 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,57.661,20.209,1165.277,22614.000
2,H2BRFP:background,22.106,20.303,448.818,8710.000
3,H2BRFP:background,23.188,20.813,482.621,9366.000
4,H2BRFP:Cntl,2313.652,98.045,226843.128,4402242.000
5,H2BRFP:Expt,2516.779,97.735,245978.680,4773597.000
6,TCFLefd2eGFP:background,57.661,9.798,564.964,10964.000
7,TCFLefd2eGFP:background,22.106,9.951,219.977,4269.000
8,TCFLefd2eGFP:background,23.188,9.467,219.514,4260.000
9,TCFLefd2eGFP:Cntl,2313.652,41.452,95906.187,1861208.000
10,TCFLefd2eGFP:Expt,2516.779,39.925,100482.941,1950027.000
