 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,73.583,8.029,590.832,11466.000
2,H2BRFP:background,51.323,7.861,403.472,7830.000
3,H2BRFP:background,79.612,8.007,637.465,12371.000
4,H2BRFP:Cntl,5381.792,86.421,465098.332,9025953.000
5,H2BRFP:Expt,4019.983,113.345,455643.276,8842463.000
6,TCFLefd2eGFP:background,73.583,9.356,688.427,13360.000
7,TCFLefd2eGFP:background,51.323,9.554,490.350,9516.000
8,TCFLefd2eGFP:background,79.612,9.601,764.381,14834.000
9,TCFLefd2eGFP:Cntl,5381.792,77.560,417412.159,8100529.000
10,TCFLefd2eGFP:Expt,4019.983,93.762,376922.268,7314760.000
