 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,76.366,7.885,602.168,11686.000
2,H2BRFP:background,101.254,7.858,795.659,15441.000
3,H2BRFP:background,51.632,8.062,416.251,8078.000
4,H2BRFP:Cntl,4814.973,350.978,1689948.227,32796061.000
5,H2BRFP:Expt,3537.569,297.694,1053111.571,20437260.000
6,TCFLefd2eGFP:background,76.366,9.297,709.967,13778.000
7,TCFLefd2eGFP:background,101.254,9.598,971.837,18860.000
8,TCFLefd2eGFP:background,51.632,9.635,497.461,9654.000
9,TCFLefd2eGFP:Cntl,4814.973,396.908,1911103.172,37087915.000
10,TCFLefd2eGFP:Expt,3537.569,268.857,951100.073,18457569.000
