 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,97.544,7.851,765.824,14862.000
2,H2BRFP:background,66.782,7.986,533.325,10350.000
3,H2BRFP:background,76.057,7.778,591.553,11480.000
4,H2BRFP:Cntl,4661.880,80.690,376167.780,7300118.000
5,H2BRFP:Expt,3508.300,84.941,297999.473,5783141.000
6,TCFLefd2eGFP:background,97.544,9.530,929.635,18041.000
7,TCFLefd2eGFP:background,66.782,9.557,638.238,12386.000
8,TCFLefd2eGFP:background,76.057,9.664,735.010,14264.000
9,TCFLefd2eGFP:Cntl,4661.880,68.551,319577.396,6201894.000
10,TCFLefd2eGFP:Expt,3508.300,79.121,277581.519,5386899.000
