 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,23.033,7.604,175.147,3399
2,H2BRFP:background,44.521,7.631,339.731,6593
3,H2BRFP:background,66.627,7.677,511.528,9927
4,H2BRFP:Cntl,3064.327,142.977,438127.744,8502547
5,H2BRFP:Expt,3204.279,168.104,538652.733,10453390
6,TCFLefd2eGFP:background,23.033,9.562,220.235,4274
7,TCFLefd2eGFP:background,44.521,9.269,412.644,8008
8,TCFLefd2eGFP:background,66.627,9.419,627.572,12179
9,TCFLefd2eGFP:Cntl,3064.327,130.634,400304.892,7768536
10,TCFLefd2eGFP:Expt,3204.279,200.174,641411.917,12447591
