 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,31.227,31.457,982.297,19063.000
2,H2BRFP:background,31.072,31.517,979.309,19005.000
3,H2BRFP:background,25.507,30.453,776.748,15074.000
4,H2BRFP:Cntl,2610.047,146.540,382477.043,7422559.000
5,H2BRFP:Expt,2438.765,129.252,315214.229,6117220.000
6,TCFLefd2eGFP:background,31.227,10.317,322.159,6252.000
7,TCFLefd2eGFP:background,31.072,10.060,312.575,6066.000
8,TCFLefd2eGFP:background,25.507,10.214,260.531,5056.000
9,TCFLefd2eGFP:Cntl,2610.047,37.450,97747.267,1896937.000
10,TCFLefd2eGFP:Expt,2438.765,35.505,86587.889,1680372.000
