 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,35.400,8.255,292.221,5671.000
2,H2BRFP:background,28.599,8.079,231.056,4484.000
3,H2BRFP:background,38.028,7.859,298.868,5800.000
4,H2BRFP:Cntl,5167.225,267.311,1381255.817,26805407.000
5,H2BRFP:Expt,2776.537,196.244,544878.003,10574201.000
6,TCFLefd2eGFP:background,35.400,9.344,330.765,6419.000
7,TCFLefd2eGFP:background,28.599,9.690,277.123,5378.000
8,TCFLefd2eGFP:background,38.028,8.856,336.794,6536.000
9,TCFLefd2eGFP:Cntl,5167.225,181.022,935380.585,18152508.000
10,TCFLefd2eGFP:Expt,2776.537,144.902,402325.653,7807752.000
