 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,85.023,8.052,684.563,13285.000
2,H2BRFP:background,92.598,7.781,720.478,13982.000
3,H2BRFP:background,61.680,7.702,475.046,9219.000
4,H2BRFP:Cntl,3386.331,145.452,492550.201,9558699.000
5,H2BRFP:Expt,3465.480,139.510,483468.111,9382447.000
6,TCFLefd2eGFP:background,85.023,9.467,804.935,15621.000
7,TCFLefd2eGFP:background,92.598,9.694,897.687,17421.000
8,TCFLefd2eGFP:background,61.680,9.706,598.664,11618.000
9,TCFLefd2eGFP:Cntl,3386.331,165.021,558817.113,10844711.000
10,TCFLefd2eGFP:Expt,3465.480,166.167,575847.808,11175218.000
