 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,77.757,7.911,615.102,11937.000
2,H2BRFP:background,61.680,8.145,502.408,9750.000
3,H2BRFP:background,126.298,8.178,1032.847,20044.000
4,H2BRFP:Cntl,5111.522,314.838,1609300.189,31230961.000
5,H2BRFP:Expt,4004.473,251.315,1006383.167,19530423.000
6,TCFLefd2eGFP:background,77.757,9.469,736.298,14289.000
7,TCFLefd2eGFP:background,61.680,9.549,588.976,11430.000
8,TCFLefd2eGFP:background,126.298,9.428,1190.784,23109.000
9,TCFLefd2eGFP:Cntl,5111.522,300.526,1536144.880,29811269.000
10,TCFLefd2eGFP:Expt,4004.473,246.691,987867.251,19171093.000
