 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:1/2 - 20180630_SMPD3MO0;8mM_Pax7_Emb4_8ss_10x.czi #1,88178.692,2173.411,191648539.051,929809132
2,A:ExptArea:c:1/2 - 20180630_SMPD3MO0;8mM_Pax7_Emb4_8ss_10x.czi #1,62290.316,2829.605,176257017.409,855135057
