 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,283.616,45.198,41,49,12818.766,15548.000
2,Cad6B:background,504.572,45.735,40,52,23076.747,27990.000
3,Cad6B:background,260.531,45.073,39,49,11742.841,14243.000
4,Cad6B:Cntl,14971.442,108.919,54,450,1630680.138,1977867.000
5,Cad6B:Expt,20543.994,114.529,52,328,2352876.799,2853826.000
6,Snai2:background,283.616,68.456,61,78,19415.303,23549.000
7,Snai2:background,504.572,70.796,61,81,35721.552,43327.000
8,Snai2:background,260.531,71.266,64,83,18566.929,22520.000
9,Snai2:Cntl,14971.442,1133.139,123,3657,16964729.426,20576677.000
10,Snai2:Expt,20543.994,558.631,134,1531,11476515.795,13919972.000
