 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,277.020,45.211,40,51,12524.433,15191
2,Cad6B:background,258.057,45.201,41,51,11664.517,14148
3,Cad6B:background,258.882,45.430,40,52,11760.979,14265
4,Cad6B:Cntl,10390.720,80.917,56,439,840780.967,1019791
5,Cad6B:Expt,14452.854,82.664,56,352,1194729.958,1449099
6,Snai2:background,277.020,75.188,67,85,20828.434,25263
7,Snai2:background,258.057,73.984,66,82,19092.113,23157
8,Snai2:background,258.882,75.771,66,88,19615.647,23792
9,Snai2:Cntl,10390.720,293.369,118,673,3048315.481,3697330
10,Snai2:Expt,14452.854,312.341,128,743,4514216.595,5475335
