 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,109.654,41.098,38,46,4506.520,5466
2,Cad6B:background,431.195,40.260,36,47,17359.914,21056
3,Cad6B:background,375.956,40.259,36,46,15135.510,18358
4,Cad6B:Cntl,15757.980,91.705,54,573,1445092.467,1752766
5,Cad6B:Expt,17184.303,98.467,46,329,1692087.866,2052349
6,Snai2:background,109.654,47.421,43,52,5199.894,6307
7,Snai2:background,431.195,46.579,39,52,20084.768,24361
8,Snai2:background,375.956,46.456,41,51,17465.445,21184
9,Snai2:Cntl,15757.980,1219.485,136,2723,19216615.981,23308011
10,Snai2:Expt,17184.303,776.838,116,1691,13349416.036,16191630
