 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,127.792,42.039,38,47,5372.207,6516.000
2,Cad6B:background,267.126,41.630,38,48,11120.370,13488.000
3,Cad6B:background,247.339,41.783,37,46,10334.656,12535.000
4,Cad6B:Cntl,15508.992,84.284,53,368,1307162.938,1585470.000
5,Cad6B:Expt,17666.615,107.746,50,313,1903504.345,2308778.000
6,Snai2:background,127.792,45.632,42,51,5831.434,7073.000
7,Snai2:background,267.126,44.031,40,49,11761.803,14266.000
8,Snai2:background,247.339,44.347,39,50,10968.669,13304.000
9,Snai2:Cntl,15508.992,1223.605,159,3399,18976879.988,23017233.000
10,Snai2:Expt,17666.615,703.498,136,2207,12428434.509,15074563.000
