 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,316.594,44.010,40,49,13933.442,16900
2,Cad6B:background,250.637,43.941,39,50,11013.190,13358
3,Cad6B:background,362.764,44.075,40,50,15988.830,19393
4,Cad6B:Cntl,13334.881,103.441,63,424,1379367.022,1673047
5,Cad6B:Expt,15870.932,148.070,58,814,2350012.611,2850352
6,Snai2:background,316.594,52.253,48,58,16542.870,20065
7,Snai2:background,250.637,50.562,45,57,12672.836,15371
8,Snai2:background,362.764,52.286,47,58,18967.619,23006
9,Snai2:Cntl,13334.881,1523.640,220,4541,20317561.510,24643358
10,Snai2:Expt,15870.932,396.371,143,1318,6290772.447,7630136
