 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,313.296,42.079,38,46,13183.179,15990
2,Cad6B:background,213.536,41.931,36,45,8953.679,10860
3,Cad6B:background,223.430,41.616,39,48,9298.305,11278
4,Cad6B:Cntl,13310.971,84.993,51,554,1131340.219,1372213
5,Cad6B:Expt,12721.480,97.433,50,288,1239495.880,1503396
6,Snai2:background,313.296,41.642,37,49,13046.318,15824
7,Snai2:background,213.536,40.278,37,46,8600.808,10432
8,Snai2:background,223.430,40.875,37,49,9132.588,11077
9,Snai2:Cntl,13310.971,1155.922,154,2927,15386444.800,18662361
10,Snai2:Expt,12721.480,542.704,126,1397,6904002.175,8373928
