 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,472.418,46.119,40,52,21787.286,26426
2,Cad6B:background,145.930,46.119,41,51,6730.100,8163
3,Cad6B:background,214.361,45.619,41,53,9778.968,11861
4,Cad6B:Cntl,18021.959,113.467,67,351,2044902.394,2480281
5,Cad6B:Expt,18619.695,133.377,58,419,2483433.972,3012180
6,Snai2:background,472.418,61.052,54,70,28842.224,34983
7,Snai2:background,145.930,58.497,54,63,8536.500,10354
8,Snai2:background,214.361,59.096,53,68,12667.889,15365
9,Snai2:Cntl,18021.959,1157.816,155,3595,20866105.441,25308692
10,Snai2:Expt,18619.695,458.297,121,1370,8533357.399,10350188
